Unnamed: 0,name,group_gnd,orig_folder,status,split
134,111124_3551_w2FITC-C_2,1.0,old_data,labeled,train
135,040325_4527_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test
136,040425_4550_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test
137,041225_4825_w2FITC-C,1.0,04_VN_P5D2,labeled,test
138,040425_4592_w2FITC-C,0.0,03_FN_P5D2,labeled,test
139,114124_3582_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
140,012725_3766_w2FITC-C,2.0,01_FN,labeled,train
141,111124_3537_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
142,110624_3306_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
143,012725_3744_w2FITC-C_2,0.0,01_FN,labeled,train
144,040225_4401_w2FITC-C_3,1.0,01_FN,labeled,train
145,041225_4809_w2FITC-C,1.0,04_VN_P5D2,labeled,test
146,040925_4661_w2FITC-C,1.0,02_VN,labeled,train
147,041125_4804_w2FITC-C_1,1.0,06_VN_Cilen100,labeled,test
148,041125_4801_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
149,114124_3613_w2FITC-C_1,0.0,old_data,labeled,train
150,114124_3633_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
151,110624_3333_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
152,110624_3293_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
153,111124_3490_w2FITC-C_1,0.0,old_data,labeled,train
154,040325_4527_w2FITC-C_1,0.0,05_FN_Cilen100,labeled,test
155,111124_3504_w2FITC-C_rot45,,old_data_unlabeled,unlabeled,train
156,040325_4523_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
157,040225_4407_w2FITC-C,1.0,01_FN,labeled,train
158,111124_3499_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
159,110724_3439_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
160,110724_3385_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
161,040925_4646_w2FITC-C,0.0,02_VN,labeled,train
162,114124_3663_w2FITC-C_1,2.0,old_data,labeled,train
163,110724_3456_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
164,114124_3632_w2FITC-C_1,0.0,old_data,labeled,train
165,110724_3436_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
166,041225_4830_w2FITC-C_1,1.0,04_VN_P5D2,labeled,test
167,114124_3644_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
168,041225_4847_w2FITC-C,0.0,04_VN_P5D2,labeled,test
169,114124_3649_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
170,110624_3296_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
171,041225_4810_w2FITC-C,1.0,04_VN_P5D2,labeled,test
172,110724_3452_w2FITC-C_1,0.0,old_data,labeled,train
173,111124_3540_w2FITC-C_2,0.0,old_data,labeled,train
174,110724_3446_w2FITC-C_1,0.0,old_data,labeled,train
175,041125_4807_w2FITC-C_2,1.0,06_VN_Cilen100,labeled,test
176,114124_3645_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
177,040425_4567_w2FITC-C,1.0,03_FN_P5D2,labeled,test
178,040325_4534_w2FITC-C_1,0.0,05_FN_Cilen100,labeled,test
179,041225_4849_w2FITC-C,0.0,04_VN_P5D2,labeled,test
180,041225_4836_w2FITC-C,0.0,04_VN_P5D2,labeled,test
181,111124_3540_w2FITC-C_1,0.0,old_data,labeled,train
182,111124_3550_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
183,110624_3350_w2FITC-C_1,1.0,old_data,labeled,train
184,041125_4778_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
185,114124_3657_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
186,111124_3474_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
187,111124_3496_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
188,111124_3478_w2FITC-C_1,0.0,old_data,labeled,train
189,111124_3545_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
190,114124_3647_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
191,114124_3618_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
192,110724_3418_w2FITC-C_1,1.0,old_data,labeled,train
193,114124_3604_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
194,114124_3609_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
195,110624_3345_w2FITC-C_1,1.0,old_data,labeled,train
196,110724_3388_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
197,041125_4783_w2FITC-C,2.0,06_VN_Cilen100,labeled,test
198,110724_3396_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
199,111124_3517_w2FITC-C_1,1.0,old_data,labeled,train
200,111124_3538_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
201,040325_4539_w2FITC-C,2.0,05_FN_Cilen100,labeled,test
202,110724_3430_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
203,110724_3387_w2FITC-C_1,2.0,old_data,labeled,train
204,013125_3834_w2FITC-C_1,0.0,02_VN,labeled,train
205,114124_3648_w2FITC-C_2,1.0,old_data,labeled,train
206,041125_4773_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
207,040325_4515_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test
208,012925_3822_w2FITC-C_2,1.0,02_VN,labeled,train
209,111124_3487_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
210,110624_3312_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
211,040425_4564_w2FITC-C,1.0,03_FN_P5D2,labeled,test
212,110724_3428_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
213,114124_3624_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
214,110724_3469_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
215,041225_4851_w2FITC-C,0.0,04_VN_P5D2,labeled,test
216,110724_3462_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
217,013125_3838_w2FITC-C_1,0.0,02_VN,labeled,train
218,110724_3445_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
219,114124_3577_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
220,114124_3584_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
221,110724_3424_w2FITC-C_1,1.0,old_data,labeled,train
222,041225_4828_w2FITC-C_1,0.0,04_VN_P5D2,labeled,test
223,114124_3637_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
224,110624_3353_w2FITC-C_1,1.0,old_data,labeled,train
225,041225_4833_w2FITC-C,0.0,04_VN_P5D2,labeled,test
226,114124_3637_w2FITC-C_1,0.0,old_data,labeled,train
227,114124_3576_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
228,110724_3457_w2FITC-C_1,2.0,old_data,labeled,train
229,114124_3614_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
230,110624_3299_w2FITC-C_1,2.0,old_data,labeled,train
231,114124_3643_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
232,114124_3611_w2FITC-C_1,1.0,old_data,labeled,train
233,040225_4406_w2FITC-C_1,0.0,01_FN,labeled,train
234,110724_3470_w2FITC-C_1,2.0,old_data,labeled,train
235,110724_3381_w2FITC-C_1,1.0,old_data,labeled,train
236,040925_4653_w2FITC-C_2,1.0,02_VN,labeled,train
237,111124_3512_w2FITC-C_1,1.0,old_data,labeled,train
238,114124_3627_w2FITC-C_!,0.0,old_data,labeled,train
239,040925_4640_w2FITC-C_2,0.0,02_VN,labeled,train
240,110624_3284_w2FITC-C_1,0.0,old_data,labeled,train
241,110624_3285_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
242,114124_3590_w2FITC-C_1,1.0,old_data,labeled,train
243,114124_3656_w2FITC-C_1,1.0,old_data,labeled,train
244,111124_3494_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
245,114124_3630_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
246,110724_3461_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
247,110624_3335_w2FITC-C_2,0.0,old_data,labeled,train
248,110624_3362_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
249,040325_4520_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
250,041225_4821_w2FITC-C_2,0.0,04_VN_P5D2,labeled,test
251,012925_3827_w2FITC-C_2,1.0,02_VN,labeled,train
252,110724_3403_w2FITC-C_3,,old_data_unlabeled,unlabeled,train
253,114124_3662_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
254,111124_3564_w2FITC-C_1,2.0,old_data,labeled,train
255,041125_4805_w2FITC-C_1,2.0,06_VN_Cilen100,labeled,test
256,111124_3493_w2FITC-C_1,0.0,old_data,labeled,train
257,110624_3369_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
258,040425_4571_w2FITC-C,0.0,03_FN_P5D2,labeled,test
259,041225_4808_w2FITC-C,1.0,04_VN_P5D2,labeled,test
260,012725_3741_w2FITC-C_2,1.0,01_FN,labeled,train
261,110724_3425_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
262,114124_3603_w2FITC-C_3,,old_data_unlabeled,unlabeled,train
263,040425_4556_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
264,114124_3596_w2FITC-C_1,2.0,old_data,labeled,train
265,040425_4562_w2FITC-C,0.0,03_FN_P5D2,labeled,test
266,110724_3398_w2FITC-C_1,1.0,old_data,labeled,train
267,114124_3598_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
268,110624_3307_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
269,114124_3602_w2FITC-C_2,1.0,old_data,labeled,train
270,114124_3592_w2FITC-C_1,1.0,old_data,labeled,train
271,110724_3439_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
272,040225_4394_w2FITC-C,0.0,01_FN,labeled,train
273,111124_3536_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
274,041225_4811_w2FITC-C,0.0,04_VN_P5D2,labeled,test
275,110624_3365_w2FITC-C_1,1.0,old_data,labeled,train
276,040925_4659_w2FITC-C_1,0.0,02_VN,labeled,train
277,040225_4412_w2FITC-C,1.0,01_FN,labeled,train
278,040925_4652_w2FITC-C_1,0.0,02_VN,labeled,train
279,040425_4563_w2FITC-C_2,0.0,03_FN_P5D2,labeled,test
280,040325_4522_w2FITC-C_1,0.0,05_FN_Cilen100,labeled,test
281,114124_3652_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
282,110624_3281_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
283,110624_3339_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
284,041125_4774_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
285,040325_4525_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
286,111124_3551_w2FITC-C_1,1.0,old_data,labeled,train
287,111124_3561_w2FITC-C_1,0.0,old_data,labeled,train
288,114124_3603_w2FITC-C_2,1.0,old_data,labeled,train
289,012925_3824_w2FITC-C_1,0.0,02_VN,labeled,train
290,041125_4786_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
291,041125_4770_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
292,110724_3413_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
293,111124_3474_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
294,110724_3409_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
295,012725_3735_w2FITC-C_2,0.0,01_FN,labeled,train
296,111124_3553_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
297,040225_4402_w2FITC-C,1.0,01_FN,labeled,train
298,012925_3818_w2FITC-C,0.0,02_VN,labeled,train
299,111124_3537_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
300,040425_4548_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
301,041225_4822_w2FITC-C,0.0,04_VN_P5D2,labeled,test
302,012725_3751_w2FITC-C,1.0,01_FN,labeled,train
303,114124_3606_w2FITC-C_2,0.0,old_data,labeled,train
304,041125_4797_w2FITC-C_1,1.0,06_VN_Cilen100,labeled,test
305,040425_4560_w2FITC-C_2,0.0,03_FN_P5D2,labeled,test
306,111124_3529_w2FITC-C_1,0.0,old_data,labeled,train
307,114124_3629_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
308,040925_4648_w2FITC-C,1.0,02_VN,labeled,train
309,040925_4654_w2FITC-C,0.0,02_VN,labeled,train
310,110624_3280_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
311,040425_4553_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
312,012725_3752_w2FITC-C,0.0,01_FN,labeled,train
313,013125_3839_w2FITC-C_1,0.0,02_VN,labeled,train
314,110724_3404_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
315,111124_3569_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
316,041225_4828_w2FITC-C_3,2.0,04_VN_P5D2,labeled,test
317,110724_3403_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
318,114124_3599_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
319,114124_3607_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
320,114124_3665_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
321,040925_4638_w2FITC-C,0.0,02_VN,labeled,train
322,040925_4642_w2FITC-C_2,0.0,02_VN,labeled,train
323,114124_3626_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
324,114124_3646_w2FITC-C_1,2.0,old_data,labeled,train
325,040325_4516_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
326,110624_3309_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
327,041125_4772_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
328,114124_3638_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
329,111124_3531_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
330,041125_4793_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
331,110624_3347_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
332,012925_3815_w2FITC-C_2,2.0,02_VN,labeled,train
333,012725_3754_w2FITC-C_2,0.0,01_FN,labeled,train
334,114124_3578_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
335,040425_4589_w2FITC-C,1.0,03_FN_P5D2,labeled,test
336,040225_4393_w2FITC-C,0.0,01_FN,labeled,train
337,040425_4573_w2FITC-C,1.0,03_FN_P5D2,labeled,test
338,040225_4401_w2FITC-C_2,2.0,01_FN,labeled,train
339,110724_3455_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
340,111124_3543_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
341,012725_3757_w2FITC-C,1.0,01_FN,labeled,train
342,040425_4543_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
343,040925_4642_w2FITC-C_1,2.0,02_VN,labeled,train
344,040225_4397_w2FITC-C,0.0,01_FN,labeled,train
345,110724_3419_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
346,110724_3393_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
347,110624_3315_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
348,114124_3597_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
349,040225_4404_w2FITC-C_3,0.0,01_FN,labeled,train
350,012925_3826_w2FITC-C_1,0.0,02_VN,labeled,train
351,040925_4644_w2FITC-C,0.0,02_VN,labeled,train
352,012925_3823_w2FITC-C_2,0.0,02_VN,labeled,train
353,110724_3454_w2FITC-C_!,,old_data_unlabeled,unlabeled,train
354,114124_3664_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
355,110624_3305_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
356,012925_3817_w2FITC-C,1.0,02_VN,labeled,train
357,041125_4791_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
358,114124_3572_w2FITC-C_1,0.0,old_data,labeled,train
359,040225_4416_w2FITC-C_2,0.0,01_FN,labeled,train
360,114124_3584_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
361,012725_3761_w2FITC-C,1.0,01_FN,labeled,train
362,040425_4591_w2FITC-C,0.0,03_FN_P5D2,labeled,test
363,040425_4585_w2FITC-C,0.0,03_FN_P5D2,labeled,test
364,110624_3341_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
365,012725_3758_w2FITC-C_2,1.0,01_FN,labeled,train
366,114124_3601_w2FITC-C_2,0.0,old_data,labeled,train
367,041225_4821_w2FITC-C_1,1.0,04_VN_P5D2,labeled,test
368,040425_4590_w2FITC-C,0.0,03_FN_P5D2,labeled,test
369,040325_4526_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
370,040325_4541_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
371,040225_4415_w2FITC-C,2.0,01_FN,labeled,train
372,012725_3754_w2FITC-C_1,0.0,01_FN,labeled,train
373,110624_3348_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
374,114124_3608_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
375,110624_3324_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
376,110724_3419_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
377,041125_4762_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
378,040325_4521_w2FITC-C_1,0.0,05_FN_Cilen100,labeled,test
379,110724_3410_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
380,040225_4417_w2FITC-C_2,2.0,01_FN,labeled,train
381,041125_4788_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
382,040425_4565_w2FITC-C,0.0,03_FN_P5D2,labeled,test
383,040425_4594_w2FITC-C,2.0,03_FN_P5D2,labeled,test
384,012725_3755_w2FITC-C_2,0.0,01_FN,labeled,train
385,111124_3498_w2FITC-C_1,1.0,old_data,labeled,train
386,012725_3739_w2FITC-C,0.0,01_FN,labeled,train
387,110624_3320_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
388,110724_3385_w2FITC-C_2,1.0,old_data,labeled,train
389,110624_3294_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
390,111124_3533_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
391,040325_4521_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test
392,111124_3520_w2FITC-C_1,0.0,old_data,labeled,train
393,110624_3326_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
394,110624_3327_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
